AREA_LEVEL_NAMES,COUNTRY_KEY,AREA_LEVEL_MODEL_NAMES
Abhaynagar,BGD,BGD-0001
Adabor,BGD,BGD-0002
Adamdighi,BGD,BGD-0003
Aditmari,BGD,BGD-0004
Agailjhara,BGD,BGD-0005
Ajmiriganj,BGD,BGD-0006
Akhaura,BGD,BGD-0007
Akkelpur,BGD,BGD-0008
Alamdanga,BGD,BGD-0009
Alfadanga,BGD,BGD-0010
Alikadam,BGD,BGD-0011
Amtali,BGD,BGD-0012
Anowara,BGD,BGD-0013
Araihazar,BGD,BGD-0014
Ashuganj,BGD,BGD-0015
Assasuni,BGD,BGD-0016
Atgharia,BGD,BGD-0017
Atpara,BGD,BGD-0018
Atrai,BGD,BGD-0019
Atwari,BGD,BGD-0020
Austagram,BGD,BGD-0021
Babuganj,BGD,BGD-0022
Badalgachhi,BGD,BGD-0023
Badarganj,BGD,BGD-0024
Badda,BGD,BGD-0025
Bagati Para,BGD,BGD-0026
Bagerhat Sadar,BGD,BGD-0027
Bagha,BGD,BGD-0028
Baghai Chhari,BGD,BGD-0029
Bagher Para,BGD,BGD-0030
Baghmara,BGD,BGD-0031
Bahubal,BGD,BGD-0032
Bajitpur,BGD,BGD-0033
Bakalia,BGD,BGD-0034
Bakerganj,BGD,BGD-0035
Bakshiganj,BGD,BGD-0036
Balaganj,BGD,BGD-0037
Balia Kandi,BGD,BGD-0038
Baliadangi,BGD,BGD-0039
Bamna,BGD,BGD-0040
Banari Para,BGD,BGD-0041
Banchharampur,BGD,BGD-0042
Bandar,BGD,BGD-0043
Bandarban Sadar,BGD,BGD-0044
Bangshal,BGD,BGD-0045
Baniachong,BGD,BGD-0046
Banshkhali,BGD,BGD-0047
Baraigram,BGD,BGD-0048
Barguna Sadar,BGD,BGD-0049
Barhatta,BGD,BGD-0050
Barisal Sadar (Kotwali),BGD,BGD-0051
Barkal,BGD,BGD-0052
Barlekha,BGD,BGD-0053
Barura,BGD,BGD-0054
Basail,BGD,BGD-0055
Batiaghata,BGD,BGD-0056
Bauphal,BGD,BGD-0057
Bayejid Bostami,BGD,BGD-0058
Beani Bazar,BGD,BGD-0059
Begumganj,BGD,BGD-0060
Belabo,BGD,BGD-0061
Belai Chhari,BGD,BGD-0062
Belkuchi,BGD,BGD-0063
Bera,BGD,BGD-0064
Betagi,BGD,BGD-0065
Bhairab,BGD,BGD-0066
Bhaluka,BGD,BGD-0067
Bhandaria,BGD,BGD-0068
Bhanga,BGD,BGD-0069
Bhangura,BGD,BGD-0070
Bhedarganj,BGD,BGD-0071
Bheramara,BGD,BGD-0072
Bhola Sadar,BGD,BGD-0073
Bholahat,BGD,BGD-0074
Bhuapur,BGD,BGD-0075
Bhurungamari,BGD,BGD-0076
Bijoynagar,BGD,BGD-0077
Biman Bandar,BGD,BGD-0078
Biral,BGD,BGD-0079
Birampur,BGD,BGD-0080
Birganj,BGD,BGD-0081
Bishwambarpur,BGD,BGD-0082
Bishwanath,BGD,BGD-0083
Boalia,BGD,BGD-0084
Boalkhali,BGD,BGD-0085
Boalmari,BGD,BGD-0086
Bochaganj,BGD,BGD-0087
Boda,BGD,BGD-0088
Bogra Sadar,BGD,BGD-0089
Brahman Para,BGD,BGD-0090
Brahmanbaria Sadar,BGD,BGD-0091
Burhanuddin,BGD,BGD-0092
Burichang,BGD,BGD-0093
Cantonment,BGD,BGD-0094
Chak Bazar,BGD,BGD-0095
Chakaria,BGD,BGD-0096
Chandanaish,BGD,BGD-0097
Chandgaon,BGD,BGD-0098
Chandina,BGD,BGD-0099
Chandpur Sadar,BGD,BGD-0100
Char Bhadrasan,BGD,BGD-0101
Char Fasson,BGD,BGD-0102
Char Rajibpur,BGD,BGD-0103
Charghat,BGD,BGD-0104
Chatkhil,BGD,BGD-0105
Chatmohar,BGD,BGD-0106
Chauddagram,BGD,BGD-0107
Chaugachha,BGD,BGD-0108
Chauhali,BGD,BGD-0109
Chhagalnaiya,BGD,BGD-0110
Chhatak,BGD,BGD-0111
Chilmari,BGD,BGD-0112
Chirirbandar,BGD,BGD-0113
Chitalmari,BGD,BGD-0114
Chittagong Port,BGD,BGD-0115
Chuadanga Sadar,BGD,BGD-0116
Chunarughat,BGD,BGD-0117
Comilla Adarsha Sadar,BGD,BGD-0118
Comilla Sadar Dakshin,BGD,BGD-0119
Companiganj-1,BGD,BGD-0120
Companiganj-2,BGD,BGD-0121
Cox's Bazar Sadar,BGD,BGD-0122
Dacope,BGD,BGD-0123
Daganbhuiyan,BGD,BGD-0124
Dakshin Sunamganj,BGD,BGD-0125
Dakshin Surma,BGD,BGD-0126
Dakshinkhan,BGD,BGD-0127
Damudya,BGD,BGD-0128
Damurhuda,BGD,BGD-0129
Darus Salam,BGD,BGD-0130
Dashmina,BGD,BGD-0131
Daudkandi,BGD,BGD-0132
Daulatkhan,BGD,BGD-0133
Daulatpur-1,BGD,BGD-0134
Daulatpur-2,BGD,BGD-0135
Daulatpur-3,BGD,BGD-0136
Debhata,BGD,BGD-0137
Debidwar,BGD,BGD-0138
Debiganj,BGD,BGD-0139
Delduar,BGD,BGD-0140
Demra,BGD,BGD-0141
Derai,BGD,BGD-0142
Dewanganj,BGD,BGD-0143
Dhamoirhat,BGD,BGD-0144
Dhamrai,BGD,BGD-0145
Dhanbari,BGD,BGD-0146
Dhanmondi,BGD,BGD-0147
Dharampasha,BGD,BGD-0148
Dhobaura,BGD,BGD-0149
Dhunat,BGD,BGD-0150
Dhupchanchia,BGD,BGD-0151
Dighalia,BGD,BGD-0152
Dighinala,BGD,BGD-0153
Dimla,BGD,BGD-0154
Dinajpur Sadar,BGD,BGD-0155
Dohar,BGD,BGD-0156
Domar,BGD,BGD-0157
Double Mooring,BGD,BGD-0158
Dowarabazar,BGD,BGD-0159
Dumki,BGD,BGD-0160
Dumuria,BGD,BGD-0161
Durgapu-1,BGD,BGD-0162
Durgapu-2,BGD,BGD-0163
Fakirhat,BGD,BGD-0164
Faridganj,BGD,BGD-0165
Faridpur,BGD,BGD-0166
Faridpur Sadar,BGD,BGD-0167
Fatikchhari,BGD,BGD-0168
Fenchuganj,BGD,BGD-0169
Feni Sadar,BGD,BGD-0170
Fulbari,BGD,BGD-0171
Fulbaria,BGD,BGD-0172
Fulchhari,BGD,BGD-0173
Fulgazi,BGD,BGD-0174
Gabtali,BGD,BGD-0175
Gaffargaon,BGD,BGD-0176
Gaibandha Sadar,BGD,BGD-0177
Galachipa,BGD,BGD-0178
Gangachara,BGD,BGD-0179
Gangni,BGD,BGD-0180
Gauripur,BGD,BGD-0181
Gaurnadi,BGD,BGD-0182
Gazaria,BGD,BGD-0183
Gazipur Sadar,BGD,BGD-0184
Gendaria,BGD,BGD-0185
Ghatail,BGD,BGD-0186
Ghior,BGD,BGD-0187
Ghoraghat,BGD,BGD-0188
Goalandaghat,BGD,BGD-0189
Gobindaganj,BGD,BGD-0190
Godagari,BGD,BGD-0191
Golabganj,BGD,BGD-0192
Gomastapur,BGD,BGD-0193
Gopalganj Sadar,BGD,BGD-0194
Gopalpur,BGD,BGD-0195
Gosairhat,BGD,BGD-0196
Gowainghat,BGD,BGD-0197
Gulshan,BGD,BGD-0198
Gurudaspur,BGD,BGD-0199
Habiganj Sadar,BGD,BGD-0200
Haim Char,BGD,BGD-0201
Hajiganj,BGD,BGD-0202
Hakimpur,BGD,BGD-0203
Halishahar,BGD,BGD-0204
Haluaghat,BGD,BGD-0205
Harinakunda,BGD,BGD-0206
Haripur,BGD,BGD-0207
Harirampur,BGD,BGD-0208
Hathazari,BGD,BGD-0209
Hatibandha,BGD,BGD-0210
Hatiya,BGD,BGD-0211
Hazaribagh,BGD,BGD-0212
Hizla,BGD,BGD-0213
Homna,BGD,BGD-0214
Hossainpur,BGD,BGD-0215
Ishwardi,BGD,BGD-0216
Ishwarganj,BGD,BGD-0217
Islampur,BGD,BGD-0218
Itna,BGD,BGD-0219
Jagannathpur,BGD,BGD-0220
Jaintiapur,BGD,BGD-0221
Jaldhaka,BGD,BGD-0222
Jamalganj,BGD,BGD-0223
Jamalpur Sadar,BGD,BGD-0224
Jatrabari,BGD,BGD-0225
Jhalokati Sadar,BGD,BGD-0226
Jhenaidah Sadar,BGD,BGD-0227
Jhenaigati,BGD,BGD-0228
Jhikargachha,BGD,BGD-0229
Jiban Nagar,BGD,BGD-0230
Joypurhat Sadar,BGD,BGD-0231
Jurai Chhari,BGD,BGD-0232
Juri,BGD,BGD-0233
Kabirhat,BGD,BGD-0234
Kachu-1,BGD,BGD-0235
Kachu-2,BGD,BGD-0236
Kadamtali,BGD,BGD-0237
Kafrul,BGD,BGD-0238
Kahaloo,BGD,BGD-0239
Kaharole,BGD,BGD-0240
Kala Para,BGD,BGD-0241
Kalabagan,BGD,BGD-0242
Kalai,BGD,BGD-0243
Kalaroa,BGD,BGD-0244
Kalia,BGD,BGD-0245
Kaliakair,BGD,BGD-0246
Kaliganj-1,BGD,BGD-0247
Kaliganj-2,BGD,BGD-0248
Kaliganj-3,BGD,BGD-0249
Kaliganj-4,BGD,BGD-0250
Kalihati,BGD,BGD-0251
Kalkini,BGD,BGD-0252
Kalmakanda,BGD,BGD-0253
Kalukhali,BGD,BGD-0254
Kamalganj,BGD,BGD-0255
Kamalnagar,BGD,BGD-0256
Kamarkhanda,BGD,BGD-0257
Kamrangir Char,BGD,BGD-0258
Kanaighat,BGD,BGD-0259
Kanthalia,BGD,BGD-0260
Kapasia,BGD,BGD-0261
Kaptai,BGD,BGD-0262
Karimganj,BGD,BGD-0263
Kasba,BGD,BGD-0264
Kashiani,BGD,BGD-0265
Katiadi,BGD,BGD-0266
Kaunia,BGD,BGD-0267
Kawkhali,BGD,BGD-0268
Kawkhali (Betbunia),BGD,BGD-0269
Kazipur,BGD,BGD-0270
Kendua,BGD,BGD-0271
Keraniganj,BGD,BGD-0272
Keshabpur,BGD,BGD-0273
Khagrachhari Sadar,BGD,BGD-0274
Khaliajuri,BGD,BGD-0275
Khalishpur,BGD,BGD-0276
Khan Jahan Ali,BGD,BGD-0277
Khansama,BGD,BGD-0278
Khetlal,BGD,BGD-0279
Khilgaon,BGD,BGD-0280
Khilkhet,BGD,BGD-0281
Khoksa,BGD,BGD-0282
Khulna Sadar,BGD,BGD-0283
Khulshi,BGD,BGD-0284
Kishoreganj,BGD,BGD-0285
Kishoreganj Sadar,BGD,BGD-0286
Kotali Para,BGD,BGD-0287
Kotchandpur,BGD,BGD-0288
Kotwali-1,BGD,BGD-0289
Kotwali-2,BGD,BGD-0290
Kotwali-3,BGD,BGD-0291
Koyra,BGD,BGD-0292
Kulaura,BGD,BGD-0293
Kuliar Char,BGD,BGD-0294
Kumarkhali,BGD,BGD-0295
Kurigram Sadar,BGD,BGD-0296
Kushtia Sadar,BGD,BGD-0297
Kutubdia,BGD,BGD-0298
Lakhai,BGD,BGD-0299
Laksam,BGD,BGD-0300
Lakshmichhari,BGD,BGD-0301
Lakshmipur Sadar,BGD,BGD-0302
Lalbagh,BGD,BGD-0303
Lalmohan,BGD,BGD-0304
Lalmonirhat Sadar,BGD,BGD-0305
Lalpur,BGD,BGD-0306
Lama,BGD,BGD-0307
Langadu,BGD,BGD-0308
Lohagara-1,BGD,BGD-0309
Lohagara-2,BGD,BGD-0310
Lohajang,BGD,BGD-0311
Madan,BGD,BGD-0312
Madarganj,BGD,BGD-0313
Madaripur Sadar,BGD,BGD-0314
Madhabpur,BGD,BGD-0315
Madhukhali,BGD,BGD-0316
Madhupur,BGD,BGD-0317
Magura Sadar,BGD,BGD-0318
Mahadebpur,BGD,BGD-0319
Mahalchhari,BGD,BGD-0320
Maheshkhali,BGD,BGD-0321
Maheshpur,BGD,BGD-0322
Manda,BGD,BGD-0323
Manikchhari,BGD,BGD-0324
Manikganj Sadar,BGD,BGD-0325
Manirampur,BGD,BGD-0326
Manohardi,BGD,BGD-0327
Manoharganj,BGD,BGD-0328
Manpura,BGD,BGD-0329
Mathbaria,BGD,BGD-0330
Matihar,BGD,BGD-0331
Matiranga,BGD,BGD-0332
Matlab Dakshin,BGD,BGD-0333
Matlab Uttar,BGD,BGD-0334
Maulvi Bazar Sadar,BGD,BGD-0335
Meghna,BGD,BGD-0336
Mehendiganj,BGD,BGD-0337
Meherpur Sadar,BGD,BGD-0338
Melandaha,BGD,BGD-0339
Mirpur-1,BGD,BGD-0340
Mirpur-2,BGD,BGD-0341
Mirsharai,BGD,BGD-0342
Mirzaganj,BGD,BGD-0343
Mirzapur,BGD,BGD-0344
Mitha Pukur,BGD,BGD-0345
Mithamain,BGD,BGD-0346
Mohammadpur-1,BGD,BGD-0347
Mohammadpur-2,BGD,BGD-0348
Mohanganj,BGD,BGD-0349
Mohanpur,BGD,BGD-0350
Mollahat,BGD,BGD-0351
Mongla,BGD,BGD-0352
Morrelganj,BGD,BGD-0353
Motijheel,BGD,BGD-0354
Mujib Nagar,BGD,BGD-0355
Muksudpur,BGD,BGD-0356
Muktagachha,BGD,BGD-0357
Muladi,BGD,BGD-0358
Munshiganj Sadar,BGD,BGD-0359
Muradnagar,BGD,BGD-0360
Mymensingh Sadar,BGD,BGD-0361
Nabiganj,BGD,BGD-0362
Nabinagar,BGD,BGD-0363
Nachole,BGD,BGD-0364
Nagarkanda,BGD,BGD-0365
Nagarpur,BGD,BGD-0366
Nageshwari,BGD,BGD-0367
Naikhongchhari,BGD,BGD-0368
Nakla,BGD,BGD-0369
Nalchity,BGD,BGD-0370
Nalitabari,BGD,BGD-0371
Nandail,BGD,BGD-0372
Nandigram,BGD,BGD-0373
Nangalkot,BGD,BGD-0374
Naniarchar,BGD,BGD-0375
Naogaon Sadar,BGD,BGD-0376
Narail Sadar,BGD,BGD-0377
Narayanganj Sadar,BGD,BGD-0378
Naria,BGD,BGD-0379
Narsingdi Sadar,BGD,BGD-0380
Nasirnagar,BGD,BGD-0381
Natore Sadar,BGD,BGD-0382
Nawabganj-1,BGD,BGD-0383
Nawabganj-2,BGD,BGD-0384
Nawabganj Sadar,BGD,BGD-0385
Nazirpur,BGD,BGD-0386
Nesarabad (Swarupkati),BGD,BGD-0387
Netrokona Sadar,BGD,BGD-0388
New Market,BGD,BGD-0389
Niamatpur,BGD,BGD-0390
Nikli,BGD,BGD-0391
Nilphamari Sadar,BGD,BGD-0392
Noakhali Sadar (Sudharam),BGD,BGD-0393
Paba,BGD,BGD-0394
Pabna Sadar,BGD,BGD-0395
Pahartali,BGD,BGD-0396
Paikgachha,BGD,BGD-0397
Pakundia,BGD,BGD-0398
Palash,BGD,BGD-0399
Palashbari,BGD,BGD-0400
Pallabi,BGD,BGD-0401
Paltan,BGD,BGD-0402
Panchagarh Sadar,BGD,BGD-0403
Panchbibi,BGD,BGD-0404
Panchhari,BGD,BGD-0405
Panchlaish,BGD,BGD-0406
Pangsha,BGD,BGD-0407
Parbatipur,BGD,BGD-0408
Parshuram,BGD,BGD-0409
Patenga,BGD,BGD-0410
Patgram,BGD,BGD-0411
Patharghata,BGD,BGD-0412
Patiya,BGD,BGD-0413
Patnitala,BGD,BGD-0414
Patuakhali Sadar,BGD,BGD-0415
Pekua,BGD,BGD-0416
Phulbari,BGD,BGD-0417
Phulpur,BGD,BGD-0418
Phultala,BGD,BGD-0419
Pirgachha,BGD,BGD-0420
Pirganj-1,BGD,BGD-0421
Pirganj-2,BGD,BGD-0422
Pirojpur Sadar,BGD,BGD-0423
Porsha,BGD,BGD-0424
Purbadhala,BGD,BGD-0425
Puthia,BGD,BGD-0426
Rajapur,BGD,BGD-0427
Rajarhat,BGD,BGD-0428
Rajasthali,BGD,BGD-0429
Rajbari Sadar,BGD,BGD-0430
Rajnagar,BGD,BGD-0431
Rajoir,BGD,BGD-0432
Rajpara,BGD,BGD-0433
Ramganj,BGD,BGD-0434
Ramgarh,BGD,BGD-0435
Ramgati,BGD,BGD-0436
Ramna,BGD,BGD-0437
Rampal,BGD,BGD-0438
Rampura,BGD,BGD-0439
Ramu,BGD,BGD-0440
Rangamati Sadar,BGD,BGD-0441
Rangpur Sadar,BGD,BGD-0442
Rangunia,BGD,BGD-0443
Raninagar,BGD,BGD-0444
Ranisankail,BGD,BGD-0445
Raozan,BGD,BGD-0446
Raumari,BGD,BGD-0447
Rowangchhari,BGD,BGD-0448
Royganj,BGD,BGD-0449
Roypur,BGD,BGD-0450
Roypura,BGD,BGD-0451
Ruma,BGD,BGD-0452
Rupganj,BGD,BGD-0453
Rupsa,BGD,BGD-0454
Sabujbagh,BGD,BGD-0455
Sadarpur,BGD,BGD-0456
Sadullapur,BGD,BGD-0457
Saghatta,BGD,BGD-0458
Saidpur,BGD,BGD-0459
Sakhipur,BGD,BGD-0460
Saltha,BGD,BGD-0461
Sandwip,BGD,BGD-0462
Santhia,BGD,BGD-0463
Sapahar,BGD,BGD-0464
Sarail,BGD,BGD-0465
Sarankhola,BGD,BGD-0466
Sariakandi,BGD,BGD-0467
Sarishabari,BGD,BGD-0468
Satkania,BGD,BGD-0469
Satkhira Sadar,BGD,BGD-0470
Saturia,BGD,BGD-0471
Savar,BGD,BGD-0472
Senbagh,BGD,BGD-0473
Serajdikhan,BGD,BGD-0474
Shah Ali,BGD,BGD-0475
Shah Makhdum,BGD,BGD-0476
Shahbagh,BGD,BGD-0477
Shahjadpur,BGD,BGD-0478
Shahrasti,BGD,BGD-0479
Shailkupa,BGD,BGD-0480
Shajahanpur,BGD,BGD-0481
Shalikha,BGD,BGD-0482
Shariatpur Sadar,BGD,BGD-0483
Sharsha,BGD,BGD-0484
Sher-e-bangla Nagar,BGD,BGD-0485
Sherpur,BGD,BGD-0486
Sherpur Sadar,BGD,BGD-0487
Shib Char,BGD,BGD-0488
Shibalaya,BGD,BGD-0489
Shibganj-1,BGD,BGD-0490
Shibganj-2,BGD,BGD-0491
Shibpur,BGD,BGD-0492
Shyamnagar,BGD,BGD-0493
Shyampur,BGD,BGD-0494
Singair,BGD,BGD-0495
Singra,BGD,BGD-0496
Sirajganj Sadar,BGD,BGD-0497
Sitakunda,BGD,BGD-0498
Sonadanga,BGD,BGD-0499
Sonagazi,BGD,BGD-0500
Sonaimuri,BGD,BGD-0501
Sonargaon,BGD,BGD-0502
Sonatola,BGD,BGD-0503
Sreebardi,BGD,BGD-0504
Sreemangal,BGD,BGD-0505
Sreenagar,BGD,BGD-0506
Sreepur-1,BGD,BGD-0507
Sreepur-2,BGD,BGD-0508
Subarnachar,BGD,BGD-0509
Sujanagar,BGD,BGD-0510
Sulla,BGD,BGD-0511
Sunamganj Sadar,BGD,BGD-0512
Sundarganj,BGD,BGD-0513
Sutrapur,BGD,BGD-0514
Sylhet Sadar,BGD,BGD-0515
Tahirpur,BGD,BGD-0516
Tala,BGD,BGD-0517
Tangail Sadar,BGD,BGD-0518
Tanore,BGD,BGD-0519
Taraganj,BGD,BGD-0520
Tarail,BGD,BGD-0521
Tarash,BGD,BGD-0522
Tazumuddin,BGD,BGD-0523
Tejgaon,BGD,BGD-0524
Tejgaon Ind. Area,BGD,BGD-0525
Teknaf,BGD,BGD-0526
Tentulia,BGD,BGD-0527
